tune_no,tune_name,tune_meter,alt_meter,tune_book,tune_author,file_name,note
15,Jerusalem,C.M.,,LFTBs,T.W. Staniforth,15r.mid,
16,Plumstead,C.M.,,LFTBs,E.J. Judd,16r.mid,
17,Quo Vadis,C.M.,,LFTBs,E. Carren,17r.mid,
18,Regina,C.M.,,LFTBs,A.H. McNie,18r.mid,
22,Broadmead,C.M.D.,,LFTBs,Eric Burgess,22r.mid,
23,Cana,C.M.D.,,LFTBs,L.O. Emerson,23r.mid,
30,Eastbourne,L.M.,,LFTBs,C.T. Lambers,30r.mid,
31,Ecce Homo,L.M.,,LFTBs,E. Carren,31r.mid,
32,German Tunes (1952) No. 135,L.M.,,LFTBs,Unknown,32r.mid,
33,German Tunes (1952) No. 143,L.M.,,LFTBs,Unknown,33r.mid,
41,Julian,L.M.D.,,LFTBs,F.C. Maker,41r.mid,
42,Philologus,L.M.D.,,LFTBs,Miss E.C. Shanks,42r.mid,
43,Cissbury,S.M.,,LFTBs,Miss A.E. Houseman,43r.mid,
44,Hadley,S.M.,,LFTBs,R.A. Evershead,44r.mid,
45,Jedutun,S.M.,,LFTBs,E. Carren,45r.mid,
46,Little Langdale,S.M.,,LFTBs,D. Alan Clarke (1962),46r.mid
51,Damascus,S.M.D.,,LFTBs,E. Carren,51r.mid
52,Revival,S.M.D.,,LFTBs,W.H. Doane,52r.mid
55,Omnipotent,4.8.4.8.8.,,LFTBs,D. Alan Clarke (1962),55r.mid
56,Prenton,4.8.4.8.8.,,LFTBs,F.H. Parkes,56r.mid
59,Willoughby,4.8.4.8.8.,,LFTBs,Michael Lewis (1963),59r.mid
60,Inscrutable,5.5.4.5.5.4.,,LFTBs,E. Carren,60r.mid
61,All in All,6.4.6.4.6.4.6.4.,,LFTBs,Sir George C. Martin,61r.mid
67,Abercorn,6.4.6.4.6.6.6.4.,,LFTBs,John Mason,67r.mid
68,Builth,6.4.6.4.6.6.6.4.,,LFTBs,D. Jenkins,68r.mid
73,Tryst,6.4.6.4.6.6.6.4.,,LFTBs,W.H. Doane,73r.mid
74,Shannon,6.5.11.6.5.11.5.,11.11.11.11.,LFTBs,P.S. Pope,74r.mid
75,Light,6.6.4.6.6.6.4.,,LFTBs,H. Ford Benson,75r.mid
76,Paignton,6.6.4.6.6.6.4.,,LFTBs,A.B. Skeffington,76r.mid
77,Pekah,6.6.6.5.6.6.6.5.,,LFTBs,Miss E.C. Shanks,77r.mid
78,Abi-ezer,6.6.6.6.6.6.6.6.,,LFTBs,Miss E.C. Shanks,78r.mid
81,Bath-Barah,6.6.6.6.8.8.,,LFTBs,Miss E.C. Shanks,81r.mid
82,Clifton Hampten,6.6.6.6.8.8.,,LFTBs,Miss La Thangue,82r.mid
83,Gopsal,6.6.6.6.8.8.,,LFTBs,Georg Friedrich Handel,83r.mid
89,Elam,6.6.8.4.,,LFTBs,Miss E.C. Shanks,89r.mid
90,Verbum Pacis,6.6.8.4.,,LFTBs,George Lomas,90r.mid
