"verse_pk"|"hymn_no"|"hymn_verse"|"hymn_line"|"line_text"|"edited"|"editdate"|"ref_bk_1"|"ref_ch_1"|"ref_vs_1"|"ref_bk_2"|"ref_ch_2"|"ref_vs_2"
"1"|"1"|"1"|"1"|"Of all the gifts Thy love bestows,"|"1"|"2011-10-01 21:26:27"|"45"|"5"|"15-17"|"59"|"1"|"5"
"2"|"1"|"1"|"2"|"Thou Giver of all good!"|"1"|"2011-10-01 21:26:27"|"47"|"9"|"15"|"43"|"4"|"10"
"3"|"1"|"1"|"3"|"E'en heav'n itself no richer knows"|"1"|"2011-10-01 21:28:38"|"49"|"3"|"8"|"58"|"13"|"12"
"4"|"1"|"1"|"4"|"Than the Redeemer's blood."|"1"|"2011-10-01 21:26:27"|"45"|"5"|"9"|"49"|"1"|"7"
"5"|"1"|"2"|"1"|"Faith, too, that trusts the blood through grace,"|"1"|"2011-10-01 21:26:27"|"45"|"3"|"25"|"49"|"2"|"8"
"6"|"1"|"2"|"2"|"From that same love we gain;"|"1"|"2011-10-01 21:26:27"|"43"|"17"|"23"|"49"|"2"|"4"
"7"|"1"|"2"|"3"|"Else, sweetly as it suits our case,"|"1"|"2011-10-01 21:26:27"|"19"|"19"|"10"|"48"|"3"|"22"
"8"|"1"|"2"|"4"|"The gift had been in vain."|"1"|"2011-10-01 21:26:27"|"46"|"15"|"10,11"|"58"|"11"|"6"
"9"|"1"|"3"|"1"|"We praise Thee, and would praise Thee more;"|"1"|"2011-10-01 21:26:27"|"45"|"15"|"10,11"|"19"|"150"|"6"
"10"|"1"|"3"|"2"|"To Thee our all we owe;"|"1"|"2011-10-01 21:26:27"|"45"|"4"|"5"|"45"|"8"|"12,13"
"11"|"1"|"3"|"3"|"The precious Saviour, and the power"|"1"|"2011-10-01 21:26:27"|"60"|"1"|"19"|"58"|"11"|"2"
"12"|"1"|"3"|"4"|"That makes Him precious too."|"1"|"2011-10-01 21:26:27"|"61"|"1"|"1"|"60"|"1"|"7"
"13"|"2"|"1"|"1"|"Father, 'twas Thy love that knew us"|"1"|"2011-12-11 21:58:22"|"43"|"17"|"23"|"53"|"2"|"16"
"14"|"2"|"1"|"2"|"Earth's foundation long before;"|"1"|"2011-12-11 21:58:23"|"49"|"1"|"4"|"19"|"90"|"2"
"15"|"2"|"1"|"3"|"That same love to Jesus drew us"|"1"|"2011-12-11 21:58:23"|"43"|"6"|"44"|"46"|"12"|"6"
"16"|"2"|"1"|"4"|"By its sweet constraining power,"|"1"|"2011-12-11 21:58:23"|"47"|"5"|"14"|"45"|"8"|"38,39"
"17"|"2"|"1"|"5"|"And hath made us"|"1"|"2011-12-11 21:58:23"|"58"|"2"|"10"|"51"|"1"|"12"
"18"|"2"|"1"|"6"|"Sons before Thee evermore."|"1"|"2011-12-11 21:58:23"|"58"|"2"|"10"|"48"|"3"|"26"
